,capacity_veh_per_hour
178_6043,999999.0
178_6044,999999.0
179_3312,999999.0
179_6045,999999.0
179_6046,999999.0
179_6047,999999.0
180_4923,999999.0
180_4926,999999.0
180_6048,999999.0
181_4927,999999.0
182_6049,999999.0
182_6050,999999.0
182_6051,999999.0
182_6052,999999.0
183_3307,999999.0
183_6054,999999.0
183_6055,999999.0
184_6056,999999.0
184_6057,999999.0
184_6058,999999.0
184_9154,999999.0
185_6059,999999.0
185_6060,999999.0
186_6062,999999.0
186_6063,999999.0
186_6064,999999.0
186_6066,999999.0
187_6067,999999.0
187_6068,999999.0
187_6069,999999.0
187_6070,999999.0
188_6071,999999.0
188_6072,999999.0
188_6074,999999.0
188_6075,999999.0
189_3301,999999.0
189_6076,999999.0
189_6077,999999.0
189_6078,999999.0
190_6079,999999.0
190_6080,999999.0
190_6081,999999.0
191_6082,999999.0
191_6083,999999.0
191_6084,999999.0
192_2896,999999.0
192_6085,999999.0
192_6086,999999.0
192_6087,999999.0
193_2897,999999.0
193_3311,999999.0
193_6089,999999.0
194_2938,999999.0
194_4920,999999.0
194_4932,999999.0
194_6090,999999.0
195_4125,999999.0
196_6091,999999.0
196_6092,999999.0
197_4926,999999.0
198_4914,999999.0
198_4917,999999.0
198_4918,999999.0
198_6096,999999.0
199_6097,999999.0
199_6098,999999.0
199_6099,999999.0
199_6100,999999.0
200_3944,999999.0
200_6101,999999.0
200_6102,999999.0
200_6103,999999.0
201_3308,999999.0
201_6104,999999.0
202_5000,999999.0
202_6105,999999.0
202_6106,999999.0
203_5011,999999.0
203_6107,999999.0
203_6108,999999.0
204_6109,999999.0
204_6110,999999.0
204_6112,999999.0
205_6113,999999.0
205_6114,999999.0
205_6115,999999.0
206_6116,999999.0
206_6117,999999.0
206_6118,999999.0
207_6119,999999.0
207_6120,999999.0
207_6121,999999.0
208_6122,999999.0
208_6123,999999.0
208_6124,999999.0
209_6125,999999.0
209_6126,999999.0
209_6127,999999.0
209_6128,999999.0
210_2899,999999.0
210_3330,999999.0
210_6129,999999.0
211_3314,999999.0
211_6130,999999.0
211_6131,999999.0
211_6132,999999.0
212_6133,999999.0
212_6134,999999.0
212_6135,999999.0
212_6136,999999.0
213_6137,999999.0
213_6138,999999.0
213_6139,999999.0
214_4942,999999.0
215_4945,999999.0
215_6140,999999.0
215_6141,999999.0
215_6142,999999.0
216_3333,999999.0
216_4947,999999.0
216_6143,999999.0
216_6144,999999.0
217_6145,999999.0
217_6146,999999.0
217_6147,999999.0
218_3334,999999.0
218_6148,999999.0
218_6149,999999.0
218_6150,999999.0
219_3331,999999.0
219_3332,999999.0
219_6151,999999.0
219_6152,999999.0
220_3326,999999.0
220_6153,999999.0
220_6154,999999.0
221_6155,999999.0
221_6156,999999.0
221_6157,999999.0
222_6158,999999.0
222_6159,999999.0
222_6160,999999.0
222_6161,999999.0
223_3319,999999.0
223_3320,999999.0
223_6162,999999.0
224_3317,999999.0
224_5005,999999.0
224_6163,999999.0
225_6164,999999.0
225_6165,999999.0
225_6166,999999.0
226_6167,999999.0
226_6168,999999.0
226_6169,999999.0
226_6170,999999.0
227_3322,999999.0
227_6171,999999.0
227_6172,999999.0
227_6173,999999.0
228_5036,999999.0
228_6174,999999.0
228_6175,999999.0
229_3327,999999.0
229_3328,999999.0
229_6176,999999.0
229_6177,999999.0
230_6179,999999.0
230_6180,999999.0
230_6181,999999.0
230_6182,999999.0
231_2928,999999.0
231_5057,999999.0
231_5060,999999.0
231_6183,999999.0
232_3338,999999.0
232_6184,999999.0
232_6185,999999.0
232_6186,999999.0
233_6187,999999.0
233_6188,999999.0
233_6189,999999.0
233_6190,999999.0
234_5069,999999.0
234_6191,999999.0
234_6192,999999.0
235_5074,999999.0
235_5076,999999.0
235_6193,999999.0
236_3342,999999.0
236_5075,999999.0
236_5079,999999.0
237_6194,999999.0
238_5643,999999.0
238_6195,999999.0
239_5081,999999.0
240_5397,999999.0
240_5400,999999.0
240_6197,999999.0
241_5399,999999.0
242_6198,999999.0
242_6199,999999.0
243_5412,999999.0
244_2884,999999.0
244_3345,999999.0
244_6200,999999.0
245_3344,999999.0
245_6201,999999.0
245_6202,999999.0
246_3340,999999.0
246_6203,999999.0
246_6204,999999.0
246_6205,999999.0
247_6206,999999.0
247_6207,999999.0
247_6208,999999.0
247_6209,999999.0
248_5433,999999.0
248_5434,999999.0
248_6210,999999.0
249_6211,999999.0
249_6212,999999.0
249_6213,999999.0
250_6214,999999.0
250_6215,999999.0
250_6217,999999.0
251_6218,999999.0
251_6219,999999.0
251_6220,999999.0
251_6221,999999.0
252_3432,999999.0
252_6222,999999.0
252_6224,999999.0
252_6225,999999.0
253_6226,999999.0
253_6227,999999.0
253_6228,999999.0
254_3337,999999.0
254_5058,999999.0
254_6229,999999.0
254_6230,999999.0
255_6232,999999.0
255_6233,999999.0
255_6234,999999.0
255_6235,999999.0
256_5338,999999.0
256_6237,999999.0
256_6238,999999.0
257_6239,999999.0
257_6240,999999.0
257_6241,999999.0
258_6242,999999.0
258_6243,999999.0
258_6244,999999.0
258_6245,999999.0
259_6246,999999.0
259_6247,999999.0
259_6248,999999.0
259_6249,999999.0
260_3425,999999.0
260_6250,999999.0
260_6251,999999.0
261_5103,999999.0
261_6252,999999.0
261_6253,999999.0
262_6254,999999.0
262_6255,999999.0
262_6256,999999.0
263_6257,999999.0
263_6258,999999.0
263_6259,999999.0
263_6260,999999.0
264_6261,999999.0
264_6262,999999.0
264_6263,999999.0
265_6264,999999.0
265_6265,999999.0
265_6266,999999.0
265_6267,999999.0
266_6268,999999.0
266_6269,999999.0
266_6270,999999.0
266_6271,999999.0
267_3410,999999.0
267_6272,999999.0
267_6273,999999.0
268_5639,999999.0
268_6274,999999.0
268_6275,999999.0
269_6277,999999.0
269_6278,999999.0
269_8657,999999.0
270_6279,999999.0
270_6280,999999.0
270_6281,999999.0
271_5148,999999.0
271_6282,999999.0
271_6283,999999.0
272_6284,999999.0
272_6285,999999.0
273_3411,999999.0
273_6286,999999.0
273_6287,999999.0
274_6288,999999.0
274_6289,999999.0
274_6290,999999.0
275_6291,999999.0
275_6292,999999.0
275_6293,999999.0
276_6294,999999.0
276_6295,999999.0
276_9045,999999.0
277_6296,999999.0
277_6297,999999.0
277_6298,999999.0
278_8386,999999.0
279_6299,999999.0
279_8390,999999.0
280_3420,999999.0
280_6300,999999.0
281_5154,999999.0
281_6301,999999.0
282_6302,999999.0
282_6303,999999.0
282_8385,999999.0
283_5164,999999.0
283_6304,999999.0
284_6305,999999.0
284_6306,999999.0
284_6307,999999.0
285_6308,999999.0
285_6309,999999.0
285_6310,999999.0
286_6311,999999.0
286_6312,999999.0
287_6313,999999.0
287_6314,999999.0
288_6315,999999.0
288_6316,999999.0
289_3421,999999.0
289_6317,999999.0
289_8384,999999.0
290_6318,999999.0
290_6319,999999.0
290_8383,999999.0
291_6321,999999.0
291_6322,999999.0
292_6323,999999.0
292_6324,999999.0
292_6325,999999.0
292_6326,999999.0
293_6327,999999.0
293_6328,999999.0
294_5175,999999.0
294_6329,999999.0
295_6330,999999.0
295_6331,999999.0
295_6332,999999.0
296_6333,999999.0
296_6334,999999.0
296_6335,999999.0
297_6336,999999.0
297_6337,999999.0
297_6338,999999.0
297_6339,999999.0
298_5178,999999.0
298_6340,999999.0
299_5184,999999.0
299_6341,999999.0
299_6342,999999.0
300_3412,999999.0
300_6343,999999.0
300_6344,999999.0
301_6345,999999.0
301_6346,999999.0
301_6347,999999.0
302_6348,999999.0
302_6349,999999.0
302_6350,999999.0
303_6351,999999.0
303_6352,999999.0
303_6353,999999.0
304_6354,999999.0
304_6355,999999.0
304_6356,999999.0
305_6357,999999.0
305_6358,999999.0
305_6359,999999.0
306_5233,999999.0
306_6360,999999.0
306_6361,999999.0
306_6362,999999.0
307_5225,999999.0
307_5248,999999.0
308_5251,999999.0
308_6363,999999.0
308_6364,999999.0
309_5253,999999.0
309_6365,999999.0
309_6366,999999.0
310_5249,999999.0
310_5891,999999.0
310_6367,999999.0
311_5893,999999.0
311_6368,999999.0
311_6369,999999.0
311_6370,999999.0
312_6371,999999.0
312_6372,999999.0
312_6373,999999.0
313_5255,999999.0
313_6374,999999.0
313_6375,999999.0
313_6376,999999.0
314_3422,999999.0
314_6377,999999.0
315_6378,999999.0
315_6379,999999.0
315_6380,999999.0
316_3423,999999.0
316_6381,999999.0
316_6382,999999.0
317_5265,999999.0
317_6383,999999.0
317_6384,999999.0
318_5260,999999.0
318_5263,999999.0
318_6385,999999.0
319_6386,999999.0
319_6387,999999.0
319_6388,999999.0
320_5266,999999.0
320_6389,999999.0
321_6390,999999.0
321_6391,999999.0
321_9047,999999.0
322_5273,999999.0
322_6392,999999.0
322_6393,999999.0
323_5275,999999.0
323_6394,999999.0
323_6395,999999.0
324_3447,999999.0
324_5280,999999.0
324_6396,999999.0
325_6397,999999.0
325_6398,999999.0
325_6399,999999.0
326_6400,999999.0
326_6401,999999.0
326_6402,999999.0
327_6403,999999.0
327_6404,999999.0
327_6405,999999.0
327_6406,999999.0
328_5287,999999.0
328_5324,999999.0
328_6407,999999.0
329_6408,999999.0
329_6409,999999.0
329_6410,999999.0
329_6411,999999.0
330_6412,999999.0
330_6413,999999.0
330_6414,999999.0
331_5365,999999.0
331_6415,999999.0
331_6416,999999.0
332_6417,999999.0
332_6418,999999.0
333_5645,999999.0
333_6419,999999.0
333_6420,999999.0
333_6421,999999.0
334_5328,999999.0
334_6422,999999.0
334_6423,999999.0
335_5321,999999.0
335_6424,999999.0
335_6425,999999.0
336_5244,999999.0
336_6426,999999.0
336_6427,999999.0
337_5242,999999.0
337_5291,999999.0
337_6428,999999.0
338_2901,999999.0
338_5242,999999.0
338_5284,999999.0
339_6429,999999.0
339_6430,999999.0
340_5293,999999.0
340_5295,999999.0
340_6431,999999.0
341_6432,999999.0
341_6433,999999.0
341_6434,999999.0
342_5298,999999.0
342_5314,999999.0
342_6435,999999.0
342_6436,999999.0
343_5313,999999.0
343_6437,999999.0
343_6438,999999.0
344_3437,999999.0
344_6439,999999.0
344_6440,999999.0
345_6441,999999.0
345_6442,999999.0
346_5349,999999.0
346_6443,999999.0
346_6444,999999.0
347_3444,999999.0
347_6445,999999.0
347_6446,999999.0
348_2881,999999.0
348_5379,999999.0
348_6447,999999.0
348_6448,999999.0
349_2880,999999.0
349_6449,999999.0
349_6450,999999.0
350_5463,999999.0
350_6451,999999.0
350_6452,999999.0
351_5459,999999.0
351_6453,999999.0
351_6454,999999.0
352_2883,999999.0
352_6455,999999.0
352_6456,999999.0
353_5392,999999.0
353_6457,999999.0
353_6458,999999.0
353_6459,999999.0
354_6460,999999.0
354_6461,999999.0
354_6462,999999.0
355_6463,999999.0
355_6464,999999.0
355_6465,999999.0
356_5413,999999.0
356_6466,999999.0
357_5414,999999.0
358_3471,999999.0
358_6467,999999.0
358_6468,999999.0
359_3469,999999.0
359_6469,999999.0
359_6470,999999.0
360_3453,999999.0
360_6471,999999.0
360_6472,999999.0
361_5441,999999.0
361_5445,999999.0
361_6473,999999.0
362_5419,999999.0
362_5443,999999.0
363_2877,999999.0
363_5456,999999.0
363_6475,999999.0
364_5457,999999.0
364_5468,999999.0
364_6476,999999.0
365_5464,999999.0
365_5469,999999.0
366_5465,999999.0
366_5467,999999.0
366_6478,999999.0
367_6479,999999.0
367_6480,999999.0
367_6481,999999.0
368_5479,999999.0
368_5482,999999.0
368_6482,999999.0
369_6483,999999.0
369_6484,999999.0
369_6485,999999.0
370_3461,999999.0
370_6486,999999.0
370_6487,999999.0
371_6488,999999.0
371_6489,999999.0
371_6490,999999.0
372_3457,999999.0
372_6491,999999.0
372_6492,999999.0
373_5484,999999.0
373_6493,999999.0
373_6494,999999.0
374_5487,999999.0
374_6495,999999.0
374_6496,999999.0
374_6497,999999.0
375_5497,999999.0
375_5498,999999.0
375_6498,999999.0
376_6499,999999.0
376_6500,999999.0
376_6501,999999.0
377_6502,999999.0
377_6503,999999.0
377_6504,999999.0
377_6505,999999.0
378_5420,999999.0
378_5437,999999.0
378_6506,999999.0
379_6507,999999.0
379_6509,999999.0
380_5501,999999.0
380_6510,999999.0
380_6511,999999.0
381_6512,999999.0
381_6513,999999.0
381_6514,999999.0
381_6515,999999.0
382_6516,999999.0
382_6517,999999.0
383_5426,999999.0
384_5510,999999.0
384_5511,999999.0
385_5512,999999.0
385_6518,999999.0
386_5513,999999.0
387_5516,999999.0
387_6519,999999.0
388_5505,999999.0
388_6520,999999.0
388_6521,999999.0
388_6522,999999.0
389_6523,999999.0
389_6524,999999.0
390_5514,999999.0
391_6525,999999.0
391_6526,999999.0
392_5520,999999.0
392_6527,999999.0
392_6528,999999.0
393_5519,999999.0
393_6529,999999.0
393_6530,999999.0
394_5563,999999.0
394_6531,999999.0
394_6532,999999.0
395_5495,999999.0
395_5522,999999.0
395_6533,999999.0
396_5526,999999.0
396_5560,999999.0
397_5529,999999.0
397_6534,999999.0
397_6535,999999.0
398_2876,999999.0
398_5528,999999.0
398_5532,999999.0
398_5533,999999.0
399_6536,999999.0
399_6537,999999.0
400_5546,999999.0
400_6538,999999.0
401_2875,999999.0
401_5478,999999.0
401_6540,999999.0
402_6541,999999.0
402_6542,999999.0
402_6543,999999.0
403_5535,999999.0
403_6544,999999.0
404_3465,999999.0
404_6545,999999.0
405_5545,999999.0
405_6546,999999.0
406_5544,999999.0
406_5547,999999.0
407_5444,999999.0
407_5543,999999.0
407_6547,999999.0
407_6548,999999.0
408_2873,999999.0
408_5551,999999.0
408_5581,999999.0
408_6549,999999.0
409_3467,999999.0
409_5579,999999.0
409_6550,999999.0
410_5556,999999.0
410_5559,999999.0
410_5561,999999.0
410_6551,999999.0
411_5574,999999.0
411_5577,999999.0
411_6552,999999.0
412_5573,999999.0
412_6554,999999.0
413_6556,999999.0
413_9048,999999.0
414_6557,999999.0
414_6558,999999.0
414_6559,999999.0
415_5606,999999.0
415_5619,999999.0
415_6560,999999.0
415_6561,999999.0
416_5604,999999.0
416_5611,999999.0
416_6562,999999.0
417_5603,999999.0
417_6563,999999.0
417_6564,999999.0
418_5541,999999.0
418_6565,999999.0
418_6566,999999.0
419_5584,999999.0
419_6567,999999.0
420_6568,999999.0
420_6569,999999.0
421_5587,999999.0
421_6571,999999.0
421_6572,999999.0
422_5600,999999.0
422_6573,999999.0
423_6574,999999.0
423_6914,999999.0
423_9050,999999.0
424_5618,999999.0
424_6915,999999.0
424_7379,999999.0
425_3385,999999.0
425_5613,999999.0
425_6916,999999.0
425_6917,999999.0
426_3468,999999.0
426_6918,999999.0
426_6919,999999.0
427_5593,999999.0
427_5595,999999.0
427_6920,999999.0
428_1760,999999.0
429_1759,999999.0
429_2070,999999.0
429_2072,999999.0
430_2073,999999.0
430_2074,999999.0
430_2075,999999.0
431_2076,999999.0
431_2077,999999.0
431_3498,999999.0
432_2078,999999.0
432_9058,999999.0
432_9059,999999.0
433_2080,999999.0
433_2081,999999.0
434_1764,999999.0
434_1766,999999.0
434_2082,999999.0
434_2534,999999.0
435_1762,999999.0
435_1765,999999.0
435_2083,999999.0
436_2200,999999.0
436_2398,999999.0
436_2406,999999.0
436_9060,999999.0
437_2407,999999.0
437_2408,999999.0
437_3500,999999.0
438_2409,999999.0
438_2410,999999.0
438_2411,999999.0
439_2412,999999.0
439_9061,999999.0
440_2413,999999.0
440_3501,999999.0
441_2606,999999.0
441_2607,999999.0
441_2608,999999.0
442_1770,999999.0
442_2609,999999.0
442_2610,999999.0
443_2611,999999.0
443_9062,999999.0
444_2079,999999.0
444_2612,999999.0
444_2613,999999.0
445_2614,999999.0
445_2615,999999.0
446_2616,999999.0
446_2617,999999.0
446_2957,999999.0
447_2618,999999.0
447_2619,999999.0
448_2620,999999.0
448_2621,999999.0
448_2622,999999.0
448_2623,999999.0
449_2624,999999.0
449_9063,999999.0
449_9064,999999.0
450_2625,999999.0
450_2626,999999.0
451_2627,999999.0
451_2628,999999.0
451_2629,999999.0
452_2766,999999.0
452_9065,999999.0
452_12483,999999.0
453_2631,999999.0
453_3503,999999.0
453_9066,999999.0
454_2632,999999.0
454_2956,999999.0
455_2633,999999.0
455_2735,999999.0
455_3490,999999.0
455_12106,999999.0
456_2738,999999.0
456_2739,999999.0
456_2740,999999.0
457_2741,999999.0
457_2742,999999.0
457_12480,999999.0
458_2744,999999.0
458_2746,999999.0
459_2748,999999.0
459_2749,999999.0
459_12477,999999.0
460_2750,999999.0
460_9067,999999.0
461_2953,999999.0
461_8407,999999.0
462_2751,999999.0
